bblid,scanid,restExclude,restExcludeVoxelwise,restNoDataExclude,restRelMeanRMSMotion,restRelMeanRMSMotionExclude,restNSpikesMotion,restNSpikesMotionExclude,restNormCrossCorr,restNormCoverage,restCoregCrossCorr,restCoregCoverage,restVoxelwiseCoverageExclude,restRpsMapCorrectionNotApplied
87646,6826,0,0,0,0.040626,0,3,0,0.90733522,0.9769875367,0.88103309,0.97976896,0,0
86880,6827,0,0,0,0.0163628,0,0,0,0.91266427,0.980826492,0.88848183,0.9856558286,0,0
83454,6837,0,1,0,0.0816707,0,3,0,0.90825037,0.9781679357,0.88361691,0.9823254137,1,0
92970,6838,0,0,0,0.0848525,0,6,0,0.91702838,0.9766844613,0.89483105,0.9825288862,0,0
122901,6841,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
97597,6844,1,1,0,0.60272,1,91,1,0.88382894,0.9420434728,0.85807289,0.9455264144,0,0
91335,6845,0,0,0,0.0488993,0,4,0,0.91423142,0.9723031605,0.89366168,0.9757372711,0,0
91227,6846,0,1,0,0.0389666,0,0,0,0.89764861,0.9552830831,0.87788919,0.9624995258,1,0
93341,6847,0,0,0,0.0328534,0,0,0,0.91184824,0.975535965,0.88226914,0.9811796787,0,0
114990,6848,0,0,0,0.0282704,0,0,0,0.91408349,0.98219299,0.89151174,0.9862100761,0,0
81456,6851,0,0,0,0.0983945,0,1,0,0.90584007,0.980539368,0.88442553,0.9842856326,0,0
88677,6852,1,1,0,0.353059,1,40,1,0.8993185,0.953953805,0.87761671,0.9559934115,0,0
100088,6853,1,1,0,0.20973,1,32,1,0.90778014,0.9738610745,0.8881378,0.9813447438,0,0
90613,6864,0,0,0,0.0765175,0,7,0,0.91240698,0.9675018079,0.89382457,0.9754239823,0,0
91398,6865,0,0,0,0.0350743,0,0,0,0.9201979,0.9779658855,0.90314352,0.9829995761,0,0
85054,6867,0,0,0,0.0335102,0,0,0,0.91207555,0.9735899018,0.89760771,0.9806845012,0,0
81533,6869,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
92927,6872,0,0,0,0.0574694,0,5,0,0.89323157,0.9782104726,0.86595258,0.9793085633,0,0
117529,6873,0,0,0,0.0958779,0,7,0,0.90753016,0.977944617,0.88145487,0.9817637818,0,0
